cancer_type	perc_diploid	nb_clones	nb_mut	nb_sig	min_dist	max_dist	avg_dist	avg_major_cn	actual_perc_diploid	avg_tot_cn	index	bic	aic	aicc	icl_q	icl_qn	bic_alt	sh_4	sh_5	sh_6	sh_7	sh_8	sh_9	sh_10	max_curvature	ll_1	ll_2	ll_3	ll_4	ll_5	ll_6	ll_7	ll_8	ll_9	ll_10	timestamp
24	40	1	5000	65				1.7328	0.4188	2.7942	0	1	1	1	1	1	1	1	1	1	1	1	5	5	5	-38188.49601584696	-38187.83158180221	-38186.580837141904	-38183.799932083064	-38181.58962378118	-38181.55900714518	-38181.02710912116	-38181.047631955975	-38180.98638062984	-38181.235694824965	1559780905.181555
24	40	1	5000	7				1.7328	0.4188	2.7942	0	1	1	1	2	1	1	2	4	3	6	6	6	6	2	-38193.57310147103	-38192.101892256695	-38191.73867099983	-38191.72799764156	-38191.75188947071	-38191.703828134465	-38191.757570574235	-38191.78902595393	-38191.72555011027	-38191.72857831154	1559780905.181555
24	60	1	5000	65				1.4546	0.6332	2.4884	0	1	1	1	1	1	1	2	2	2	2	5	5	5	2	-38433.55493968591	-38427.407586950525	-38428.222476019415	-38424.73539677235	-38424.105555906164	-38424.20955542177	-38424.09789486512	-38423.978424222674	-38423.88956906347	-38424.101328372126	1559760190.6291637
24	60	1	5000	7				1.4546	0.6332	2.4884	0	1	1	1	2	1	1	1	4	4	4	4	3	3	3	-38435.37620507787	-38434.16726344482	-38431.952824189175	-38431.950078181806	-38432.041022152844	-38433.16138594548	-38433.160451282005	-38432.74174837498	-38432.16300719538	-38431.95211577904	1559760190.6291637
24	80	1	5000	65				1.1928	0.8422	2.1772	0	1	1	1	2	1	1	1	1	3	3	4	4	7	3	-38053.629861000685	-38051.77736025561	-38043.762009629114	-38043.24401646191	-38043.42247087279	-38042.881533570384	-38042.665521676034	-38042.70520437416	-38042.880093422034	-38043.27527587026	1559845562.2993064
24	80	1	5000	7				1.1928	0.8422	2.1772	0	1	1	1	2	1	1	1	4	4	4	4	4	4	3	-38062.95594963693	-38061.88494439516	-38059.76906942438	-38059.435899167416	-38059.73790652657	-38059.790842482806	-38059.694774654505	-38059.54286041726	-38059.495958675165	-38059.56031269404	1559845562.2993064
24	100	1	5000	65				1.0	1.0	2.0	0	1	1	1	2	1	1	1	1	5	4	4	4	8	2	-37460.419906046765	-37460.38908587635	-37452.36372293749	-37451.226144920125	-37451.212083357656	-37451.216709814784	-37451.14461383915	-37451.0474438936	-37451.056188340095	-37452.80197799285	1559340454.5773373
24	100	1	5000	7				1.0	1.0	2.0	0	1	1	1	2	1	1	1	1	1	5	5	5	5	5	-37466.9562563128	-37466.87556642344	-37466.188166438216	-37465.77073960212	-37465.25426581473	-37465.430229676116	-37465.680695790616	-37465.30721225012	-37465.302205787746	-37465.245768070716	1559340454.5773373
24	0	2	100	65	0.1990808146122547	0.1990808146122547	0.1990808146122547	2.27	0.0	3.46	0	1	1	2	1	1	2	2	2	2	2	5	5	5	3	-795.6685372515316	-785.2403930400328	-789.1201834674374	-777.7448678954133	-776.8415445551847	-776.8608453632942	-776.7877426167795	-776.7287863226526	-776.6789625391142	-775.952696181118	1559335035.2540815
24	0	2	100	7	0.1990808146122547	0.1990808146122547	0.1990808146122547	2.27	0.0	3.46	0	1	2	1	1	1	2	2	3	3	6	6	6	6	2	-804.1460104082668	-795.6887709322667	-792.4338560235193	-791.5767021093949	-791.3137716936473	-791.0082426269516	-791.6634045611423	-791.0076622699182	-790.9412645245833	-790.981456695806	1559335035.2540815
