nb_mut	nb_clones	cancer_type	nb_sig_subMU	seed	perc_dip	loglikelihood_MU	loglikelihood_nopi_MU	loglikelihood_subMU	loglikelihood_nopi_subMU	timestamp
1000	4	9	9	2785	0.0	-8167.203377286501	-8179.600447668322	-8160.792115298337	-8165.242522496259	1560227139.3388648
1000	4	9	9	2786	0.2	-8334.297890191297	-8364.725922061216	-8363.07557472193	-8370.388233485377	1560227621.4613128
1000	4	9	9	2787	0.4	-8263.12316273465	-8285.866490773791	-8286.549214136081	-8295.46834118582	1560226709.3169763
1000	4	9	9	2788	0.6	-7855.046349126179	-7867.2041341141785	-7873.518715951002	-7878.600173742134	1560227128.244839
1000	4	9	9	2789	0.8	-8118.982135604128	-8139.601885123349	-8137.910889684576	-8147.122761169018	1560226946.8839457
1000	4	9	9	2790	1.0	-8081.853552285353	-8101.798232074164	-8101.506453636592	-8108.014246783605	1560226600.2740357
1000	4	10	9	2791	0.0	-8731.465159680489	-8751.590478916978	-8745.90541071891	-8753.748437251821	1560227149.2926426
1000	4	10	9	2792	0.2	-8213.407065830083	-8226.289372204179	-8221.054699934459	-8227.886597780807	1560229823.4072692
1000	4	10	9	2793	0.4	-8201.227324416708	-8226.583485245683	-8218.207570266735	-8230.132721769502	1560226864.5081987
1000	4	10	9	2794	0.6	-8290.615612429021	-8314.006649069348	-8311.453943851666	-8321.084228945816	1560226850.7344337
1000	4	10	9	2795	0.8	-8268.105064033069	-8284.546234904345	-8281.622350793772	-8290.666526507324	1560226499.5170135
1000	4	10	9	2796	1.0	-8375.909084186638	-8399.847995348235	-8403.957735327178	-8407.74637101659	1560226515.1084
1000	4	11	6	2797	0.0	-7948.814247802232	-7968.05332508202	-7965.490245233732	-7972.295623086835	1560226839.9628265
1000	4	11	6	2798	0.2	-8398.716187692227	-8421.274930698797	-8421.226967117324	-8428.169313392991	1560227222.8255217
1000	4	11	6	2799	0.4	-7523.801691121842	-7539.160886158621	-7541.577120454732	-7544.950532194415	1560226986.7157707
1000	4	11	6	2800	0.6	-8260.113917347126	-8287.538644244361	-8290.982053264834	-8297.740804711473	1560228007.0279055
1000	4	11	6	2801	0.8	-8338.383489507007	-8364.835690508246	-8369.886761965543	-8372.536178964965	1560227657.0918946
1000	4	11	6	2802	1.0	-8553.045682579741	-8575.509310691501	-8570.807699407005	-8576.576336481881	1560226737.0127
1000	4	12	7	2803	0.0	-8048.591380637545	-8073.67253339379	-8066.326066080565	-8077.205521105938	1560227508.543987
1000	4	12	7	2804	0.2	-8057.70633701489	-8089.451761871645	-8100.424818592102	-8109.804254999507	1560227153.9927788
1000	4	12	7	2805	0.4	-7942.198580862747	-7951.856341155434	-7951.485059954629	-7956.091466210641	1560227603.548594
1000	4	12	7	2806	0.6	-8052.4176077455495	-8074.076893347533	-8075.3162250936975	-8082.148279277791	1560229163.9368439
1000	4	12	7	2807	0.8	-8417.498232205999	-8438.418705172671	-8442.831771500874	-8446.585863360797	1560227264.6756253
1000	4	12	7	2808	1.0	-7980.96401073482	-8017.969350141672	-8019.7779436546725	-8024.075638627487	1560226768.4641993
1000	4	13	9	2809	0.0	-6898.895388762773	-6908.864219885203	-6907.042710797996	-6914.485886591437	1560227764.8678274
1000	4	13	9	2810	0.2	-7886.604796978138	-7909.1277730402	-7909.7733818900815	-7918.70645814507	1560227230.0728621
1000	4	13	9	2811	0.4	-7474.966077699383	-7497.4445809185645	-7491.293579284622	-7502.175034795457	1560227305.9199808
1000	4	13	9	2812	0.6	-8481.398691165394	-8506.445609402741	-8498.685217366234	-8510.687237889286	1560227162.1697633
1000	4	13	9	2813	0.8	-7844.589586456379	-7862.094031201737	-7857.241803080046	-7868.481337474901	1560227250.8760483
1000	4	13	9	2814	1.0	-7336.0899476994955	-7361.905368499678	-7363.8876860106675	-7370.321245541905	1560226825.1148925
1000	4	14	12	2815	0.0	-8075.317460023167	-8091.590891224699	-8091.121540601953	-8095.356600465348	1560226968.1658444
1000	4	14	12	2816	0.2	-7742.268513141267	-7750.313400659205	-7738.879885740531	-7747.9616208471025	1560227028.3265426
1000	4	14	12	2817	0.4	-8252.609119983876	-8264.144828937422	-8235.352033391971	-8249.813971231775	1560227386.9688094
1000	4	14	12	2818	0.6	-7534.695790724112	-7547.757720210177	-7533.610722309925	-7549.427064578109	1560227233.8153763
